"user.id";"product_id"
18826;"178"
14356;"179"
14356;"174"
14356;"188"
15611;"170"
15611;"186"
15611;"172"
15611;"184"
15611;"190"
12052;"186"
12052;"187"
12052;"175"
12052;"180"
12052;"176"
12052;"171"
12052;"168"
12052;"169"
19180;"187"
19180;"188"
14762;"179"
14762;"188"
12261;"169"
12261;"170"
12579;"170"
12579;"184"
12579;"169"
13726;"188"
13726;"175"
13726;"174"
10974;"174"
10974;"188"
10653;"169"
10653;"188"
10653;"183"
15031;"184"
15031;"179"
15031;"175"
15031;"169"
19831;"182"
19831;"185"
10712;"174"
10712;"167"
10712;"183"
17580;"178"
17580;"174"
17580;"171"
17580;"168"
19885;"181"
19885;"178"
19885;"176"
18830;"173"
18830;"188"
19881;"168"
19881;"171"
19881;"184"
19881;"174"
14565;"188"
14565;"171"
14565;"182"
14565;"180"
14565;"173"
14565;"179"
16401;"174"
16401;"184"
10198;"173"
10198;"180"
10198;"170"
10198;"175"
18913;"179"
18913;"188"
10321;"183"
10321;"171"
12352;"179"
12352;"168"
17390;"174"
17390;"175"
19144;"185"
19144;"167"
19144;"172"
15575;"178"
15575;"176"
15575;"179"
19958;"183"
19958;"175"
19958;"177"
19958;"184"
19958;"172"
19212;"188"
19212;"175"
19212;"177"
19212;"185"
17406;"173"
17406;"180"
17406;"169"
10761;"170"
10761;"174"
18516;"184"
18516;"172"
16895;"183"
16895;"174"
16895;"171"
16895;"190"
11961;"188"
11961;"175"
11258;"167"
11258;"171"
10888;"184"
10888;"172"
19916;"173"
19916;"188"
19916;"179"
15721;"170"
15721;"173"
15721;"177"
15721;"182"
15721;"189"
13671;"174"
13671;"188"
15353;"189"
15353;"184"
12507;"172"
12507;"184"
12507;"183"
12507;"174"
16980;"185"
16980;"167"
11434;"188"
11434;"170"
18541;"179"
18541;"170"
12580;"180"
12580;"179"
12580;"178"
12580;"173"
12580;"176"
12714;"174"
12714;"188"
14997;"180"
14997;"173"
14133;"188"
14133;"174"
14133;"187"
14133;"167"
14133;"171"
14133;"168"
19435;"170"
19435;"175"
19435;"177"
19465;"188"
19465;"174"
19465;"171"
19465;"183"
19505;"184"
19505;"174"
19505;"170"
15981;"188"
15981;"179"
10100;"188"
10100;"190"
19517;"179"
19517;"185"
11719;"184"
11719;"185"
11719;"176"
17048;"174"
17048;"183"
17048;"184"
17048;"173"
17048;"170"
17048;"168"
14936;"184"
14936;"174"
15446;"174"
15446;"173"
15446;"172"
15446;"171"
10210;"185"
10210;"189"
17332;"179"
17332;"188"
17332;"175"
17332;"169"
17332;"170"
17332;"173"
17332;"172"
13426;"173"
13426;"182"
12303;"189"
12303;"184"
17143;"184"
17143;"174"
11269;"188"
11269;"170"
17042;"170"
17042;"174"
17042;"169"
16271;"181"
16271;"183"
16271;"182"
16271;"178"
15315;"183"
15315;"172"
15315;"174"
15315;"170"
15315;"177"
13245;"174"
13245;"178"
13245;"175"
13245;"172"
13245;"182"
18229;"167"
18229;"190"
18229;"184"
17258;"183"
17258;"176"
17258;"178"
17258;"179"
14335;"188"
14335;"177"
15970;"184"
15970;"174"
15447;"175"
15447;"177"
19760;"169"
19760;"170"
19760;"174"
14786;"181"
14786;"173"
19341;"188"
19341;"178"
19691;"176"
19691;"189"
19691;"179"
15765;"184"
15765;"169"
13278;"183"
13278;"184"
15588;"176"
15588;"184"
12464;"188"
12464;"182"
12464;"187"
12464;"186"
12464;"183"
12464;"181"
12464;"180"
12464;"167"
